id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
z12fibqoxqqqshnlf22pfvvyotbpzhw0b.1424370534511672		7	2015-02-19 19:28:54	jorge rivera	En un pais musulmán puedo practicar el cristianismo?, SIN Q M PERSIGAN O MATEN, DERRIBEN MI IGLESIA; M DECAPITN SI PREDICO EL CRISTIANISM0, pero uds tiene todas las facilidades n el rsto dl mundo para propagar su religion? totalitaria y criminal, y todavia cometn atentads y todavia protstan; MAHOMA FUE UN CRIMINAL SANGUINARIO, EXTREMADAMENTE CRUEL, Q PIDE LA GUERRA Y ASESINATO D NO MUSULMANES PARA ESTABLECER ESTADOS ISLAMICOS DNDE VAYAN, y todavía quiers q t rciban con ls brazos abiertos, n las fututras decadas fortalecids dmograficamnte dsataran la guerra n Europa, LOS EUROPEOS TIENN EL DBER DE REACCIONAR X SUS HIJOS Y XPULSAR A TODOS LS MUSULMANS Y PROHIBIRLO X INDUCIR AL TERRORISMO, Y ASESINATO; O LEGARLS EL HORROR Y SUFRIMIENTO PEOR Q LA SGUNDA GUERRA MUNDIAL DONDE SERAN XTERMINADOS(“CONVIERTETE O MUERE” ISLAMICOS)	UCsDmt8djsafsvkyTrQzh_fQ	http://www.youtube.com/channel/UCsDmt8djsafsvkyTrQzh_fQ	1	z12fibqoxqqqshnlf22pfvvyotbpzhw0b	Samad Mohamed
z12fibqoxqqqshnlf22pfvvyotbpzhw0b.1416443289936519		0	2014-11-20 01:28:09	SenseiGichinFunakoshi	<span class="proflinkWrapper"><span class="proflinkPrefix">+</span><a class="proflink" href="https://plus.google.com/114629117560213304639" oid="114629117560213304639">Víctor Profesor de Español</a></span> Los k suelen hacer eso con los simbolos de otras culturas y religiones son los musulmanes<br />Nosotros no renegamos de nuestro pasado multicultural	UCHif4b8zNv_rTcq0TDMf6ug	http://www.youtube.com/channel/UCHif4b8zNv_rTcq0TDMf6ug	1	z12fibqoxqqqshnlf22pfvvyotbpzhw0b	Samad Mohamed
z12fibqoxqqqshnlf22pfvvyotbpzhw0b.1416440677915872		1	2014-11-20 00:44:37	The Spaniard Infidel	<span class="proflinkWrapper"><span class="proflinkPrefix">+</span><a class="proflink" href="https://plus.google.com/114629117560213304639" oid="114629117560213304639">Víctor Profesor de Español</a></span> Lo ya dicho. Sigue babeando.	UCkAS1QxYpTMDnwCxEIsT4Tw	http://www.youtube.com/channel/UCkAS1QxYpTMDnwCxEIsT4Tw	1	z12fibqoxqqqshnlf22pfvvyotbpzhw0b	Samad Mohamed
z12fibqoxqqqshnlf22pfvvyotbpzhw0b.1416429215626227		0	2014-11-19 21:33:35	Víctor PM (El Zegrí)	ea poh echa la Alhambra y la Mezquita abajo, y ve echando el azafrán y la mitad de la puta cultura que tenemos a tomar por saco... madre mía la ignorancia en rodajas se ha hecho presente, basta ver como los españoles y otros civilizados están lamiendo suelos para que &quot;los salvajes&quot; les den contratas para hacer obras y proyectos y llevar esos cuartos pa la patria y darte de comer a tí y a tu prole. y atu reyes corruptos y curas pedófilos anti todo	UClOl1t1BV-HJ2tUaemqWyzw	http://www.youtube.com/channel/UClOl1t1BV-HJ2tUaemqWyzw	1	z12fibqoxqqqshnlf22pfvvyotbpzhw0b	Samad Mohamed
z12fibqoxqqqshnlf22pfvvyotbpzhw0b.1416400402528872		2	2014-11-19 13:33:22	The Spaniard Infidel	<span class="proflinkWrapper"><span class="proflinkPrefix">+</span><a class="proflink" href="https://plus.google.com/114629117560213304639" oid="114629117560213304639">Víctor Profesor de Español</a></span> Pero a ver, chaval, supongo que será bastante mejor vivir en occidente a pesar de sus muchos defectos que vivir en un país musulmán, y me da igual el que elijas. son todos verdaderos agujeros de miseria intelectual, cultural y social.<br />Occidente tiene defectos con los que puedo vivir.<br />El islam tiene defectos con los que no puedo vivir.<br />Así de simple.<br />Es decir, que occidente se calla ante las atrocidades islamistas y, claro, occidente es el culpable. es acojonante, macho.<br />¿Tan racista eres que no eres capaz de dotar al islam de la responsabilidad que tiene y tienes que salir tu a defenderlo?, ¿Tan culpable te sientes de pertenecer al primer mundo que tienes que explicar las taras religiosas de una ideología en términos políticos o económicos? Por supuesto, culpando a occidente.<br />El de la doble moral eres tu, amigo. Tú, que tratas a occidente con un determinado rasero, y cuando se trata de hablar del islam, cambias ese rasero. Pero que se puede esperar de tu discurso &quot;progresista&quot;, si no tuvieras dobles raseros morales, no tendrías ningún criterio moral.	UCkAS1QxYpTMDnwCxEIsT4Tw	http://www.youtube.com/channel/UCkAS1QxYpTMDnwCxEIsT4Tw	1	z12fibqoxqqqshnlf22pfvvyotbpzhw0b	Samad Mohamed
z12fibqoxqqqshnlf22pfvvyotbpzhw0b.1416390398838227		0	2014-11-19 10:46:38	Víctor PM (El Zegrí)	<span class="proflinkWrapper"><span class="proflinkPrefix">+</span><a class="proflink" href="https://plus.google.com/101978769655307143315" oid="101978769655307143315">MrGichinfunakoshi</a></span> no tienes ni puñetera idea donde vivo subnormal, si con comentar se te ve el plumero, deberías irte a EEUU donde tienen locos sueltos con rifles, en una de esas te contratan para participar en el ISIS que hay bastantes brutos de tu calaña allí	UClOl1t1BV-HJ2tUaemqWyzw	http://www.youtube.com/channel/UClOl1t1BV-HJ2tUaemqWyzw	1	z12fibqoxqqqshnlf22pfvvyotbpzhw0b	Samad Mohamed
z12fibqoxqqqshnlf22pfvvyotbpzhw0b.1416390207104519		0	2014-11-19 10:43:27	SenseiGichinFunakoshi	<span class="proflinkWrapper"><span class="proflinkPrefix">+</span><a class="proflink" href="https://plus.google.com/114629117560213304639" oid="114629117560213304639">Víctor Profesor de Español</a></span> prefieres los estados islamicos con su Sharia hijodelagranputa!! pues vete a vivir a un pais islamico y no vengas a mi pais a imponer tus sucias costumbres y tu mierda de religion	UCHif4b8zNv_rTcq0TDMf6ug	http://www.youtube.com/channel/UCHif4b8zNv_rTcq0TDMf6ug	1	z12fibqoxqqqshnlf22pfvvyotbpzhw0b	Samad Mohamed
z12fibqoxqqqshnlf22pfvvyotbpzhw0b.1416388813419227		0	2014-11-19 10:20:13	Víctor PM (El Zegrí)	<span class="proflinkWrapper"><span class="proflinkPrefix">+</span><a class="proflink" href="https://plus.google.com/114249226533863063889" oid="114249226533863063889">PEPITO GRILLO</a></span> y eso es porque los gobiernos democráticos que tanto alabáis son los que se callan y permiten que suceda eso, tal cmo permiten la trata de blancas y que las multinacionales esclavicen humanos fuera de la jurisdicción occidental, vaya doble moral que tenéis	UClOl1t1BV-HJ2tUaemqWyzw	http://www.youtube.com/channel/UClOl1t1BV-HJ2tUaemqWyzw	1	z12fibqoxqqqshnlf22pfvvyotbpzhw0b	Samad Mohamed
z12fibqoxqqqshnlf22pfvvyotbpzhw0b.1416359933378519		0	2014-11-19 02:18:53	SenseiGichinFunakoshi	en Dubai,Qatar o cualquiera de los emiratos arabes la mujer es tratada peor k los camellos y se aplIca la Shariah k va en contra de los Derechos Humanos y  todos estos paises estan regidos x dictaduras atroces. Tu no sabes ni sikiera lo k es ser civilizado!! Metete tu mierda de religion x el agujero del culo puto musulman ignorante de mierda 	UCHif4b8zNv_rTcq0TDMf6ug	http://www.youtube.com/channel/UCHif4b8zNv_rTcq0TDMf6ug	1	z12fibqoxqqqshnlf22pfvvyotbpzhw0b	Samad Mohamed
z12fibqoxqqqshnlf22pfvvyotbpzhw0b.1416357997324872		1	2014-11-19 01:46:37	The Spaniard Infidel	Sabes porque en Dubai son gente normal?? porque están occidentalizados o en camino de ello. es lo que tiene el progreso y la pasta, dejas de pensar en gilipolleces mahometanas y te centras en vivir y dejar vivir. Excepto en Arabia Saudi, donde la monarquia wahabista quiere seguir teniendo a su pueblo sometido a la sharia más radical.<br />TU si que no tienes ni puta idea lo que es el islam, vives en tu pequeña burbuja pseudoliberalislamista, y no conoces las docenas de pasajes violentos, la jurisprudencia atroz y lo que predican muchos imames en muchas mezquitas. o si los conoces estás aplicando la taqiyya, amigo Samad.<br />Si desconoces y no aplicas los principios supremacistas, racistas, misoginos, pedofilicos, separatistas, homofobos y anti judios, NO ERES MUSULMÁN. Así de simple. <br />A lo mejor eres un tipo majete, pero no eres musulmán.	UCkAS1QxYpTMDnwCxEIsT4Tw	http://www.youtube.com/channel/UCkAS1QxYpTMDnwCxEIsT4Tw	1	z12fibqoxqqqshnlf22pfvvyotbpzhw0b	Samad Mohamed
z13edbl5jrnmh3d1b22aulxwckebvxbh204	0	0	2014-07-22 04:20:30	1Tetragramaton	<br />MUY BONITO  EL VÍDEO, EL PROBLEMA, ES QUE EL ISLAM ES EL CULTO A AL &quot;DIOS&quot; QURAISHITA HUBAL ALLAH.<br /><br />ANTES  DE QUE MUHAMMAD NACIERA, SU PADRE SE LLAMABA  ABD ALLAH (SIERVO DE ALLAH), ¿COMO   ES POSIBLE ESTO?.<br /><br />MUY SENCILLO,  LOS  ANCESTROS DE MUHAMMAD ABUELOS,  BISABUELOS, TATARABUELOS, ETC,  ERAN LOS ENCARGADOS DEL MANTENIMIENTO DE LA KAABA, Y DE AUXILIAR A LOS PEREGRINOS.<br /><br />PERO, ¿ QUIEN ERA EL DIOS DE LA TRIBU QURAISH DE MUHAMMAD?.<br /><br />PUES, NI MAS NI MENOS QUE HUBAL ALLAH, <br /><br />EL NOVILUNIO,  EL RAMADAN, LOS  MESES SAGRADOS,  LA PEREGRINACION  A LA MECA (PEREGRINACIÓN MAYOR Y MENOR),  LAS 7 VUELTAS A LA KAABA,  LA PIEDRA NEGRA, RAPARSE LA  CABEZA, CAMINAR SEMI DESNUDOS,  EL AYUNO,  SACRIFICIO DE ANIMALES, ETC, ERA EL CULTO A HUBAL.<br /><br />PUES BIEN, ESTA PARAFERNALIA DE HUBAL HOY SE LLAMA ISLAM.<br /><br />Y MUHAMMAD, TRATO POR TODOS LOS MEDIOS DE METER   A  AL<br />&quot;DIOS&quot;   DE SU  TRIBU QURAISH  EN LA BIBLIA.﻿	UCOeQdC_uYyfKOr0JbsHqbmA	http://www.youtube.com/channel/UCOeQdC_uYyfKOr0JbsHqbmA	0		
z13atrszdvn1ynmtn22icvppqmjyc5bko	0	0	2014-07-13 08:09:30	Tanger53 Tanger		UCjLZJZUE905kbaw8qU8-QrQ	http://www.youtube.com/channel/UCjLZJZUE905kbaw8qU8-QrQ	0		
z12ojvvwusfictvzn04ccvgwcpide13bvzk0k	0	0	2014-07-10 22:55:37	henry titi	para los que siguen pensando que el islam es una religión de violencia y imperialismo dios os contesta:<br /><br /> No cabe coacción en religión. La buena dirección se distingue claramente del descarrío. Quien no cree en los taguts(las deidades falsas) y cree en Allah, ese tal se ase del asidero más firme, de un asidero irrompible. Allah todo lo oye, todo lo sabe. <br />La vaca s2,v256<br /><a href="http://www.arabespanol.org/coran/2.htm">http://www.arabespanol.org/coran/2.htm</a><br /><br />y para los que quieren imponer sus creencias sea cual sea aqui tenéis la respuesta del mas poderoso:<br /><br />29. Y di: «La Verdad viene de vuestro Señor. ¡Que crea quien quiera, y quien no quiera que no crea!» Hemos preparado para los impíos un fuego cuyas llamas les cercarán. Si piden socorro, se les socorrerá con un líquido como de metal fundido, que les abrasará el rostro. ¡Mala bebida! Y ¡mal lugar de descanso! <br /><br />Aquí esta claro quien tiene que juzgar a los demás.﻿	UCS8lY8OuPSbZUE0nCbvF5dg	http://www.youtube.com/channel/UCS8lY8OuPSbZUE0nCbvF5dg	0		
z13wenaivuv0f5y1e22gznxqurq4tnk0t	0	2	2014-07-02 16:34:28	rkadrano	Hay tanta incultura en nuestro país que da pena.. Ojalá llegara la inquisición, ya rogaríais a los musulmanes como hace años... Leer, comrender y luego hablar, que somos un país de panderetas..﻿	UCEWToB-3sT7hj7Ubhh4OQjg	http://www.youtube.com/channel/UCEWToB-3sT7hj7Ubhh4OQjg	0		
z12adznqczr5h3rgr04cdnyjqveysnai034	0	1	2014-07-02 16:34:26	rkadrano	Hay tanta incultura en nuestro país que da pena.. Ojalá llegara la inquisición, ya rogaríais a los musulmanes como hace años... Leer, comrender y luego hablar, que somos un país de panderetas..﻿	UCEWToB-3sT7hj7Ubhh4OQjg	http://www.youtube.com/channel/UCEWToB-3sT7hj7Ubhh4OQjg	0		
z13ee11xemjlt3cx004cirbgoomctxkruks0k	5	0	2014-06-29 19:14:18	SenseiGichinFunakoshi	Los musulmanes son los racistas k no respetan otras religiones ni la democracia! Solo conoceis el odio y la violencia﻿	UCHif4b8zNv_rTcq0TDMf6ug	http://www.youtube.com/channel/UCHif4b8zNv_rTcq0TDMf6ug	0		
z13ee11xemjlt3cx004cirbgoomctxkruks0k.1445290736441729		0	2015-10-19 23:38:56	Karim Dz	te doy toda la razon pero esto lo acen los gobeirnos la relegion totalmente deferenti se ki teines el islam desconocido busca yo se muy bn el crestianismo y le respecto incluso mee creo en jesus y esta en el coran espero ki te serva gracias	UCulSRVT8r7O0yiAKN1xeJ7g	http://www.youtube.com/channel/UCulSRVT8r7O0yiAKN1xeJ7g	1	z13ee11xemjlt3cx004cirbgoomctxkruks0k	SenseiGichinFunakoshi
z13ee11xemjlt3cx004cirbgoomctxkruks0k.1445253701081171		0	2015-10-19 13:21:41	SenseiGichinFunakoshi	<span class="proflinkWrapper"><span class="proflinkPrefix">+</span><a class="proflink" href="https://plus.google.com/103471365678391514693" oid="103471365678391514693">Karim Dz</a></span> A mi me basta ver los paises musulmanes para saber que no me interesa esa forma de vida y de sociedad!!	UCHif4b8zNv_rTcq0TDMf6ug	http://www.youtube.com/channel/UCHif4b8zNv_rTcq0TDMf6ug	1	z13ee11xemjlt3cx004cirbgoomctxkruks0k	SenseiGichinFunakoshi
z13ee11xemjlt3cx004cirbgoomctxkruks0k.1445249933196301		0	2015-10-19 12:18:53	Karim Dz	pos ki teines contra esta relegion la conoces o la juzgas por la gente ki ves	UCulSRVT8r7O0yiAKN1xeJ7g	http://www.youtube.com/channel/UCulSRVT8r7O0yiAKN1xeJ7g	1	z13ee11xemjlt3cx004cirbgoomctxkruks0k	SenseiGichinFunakoshi
z13ee11xemjlt3cx004cirbgoomctxkruks0k.1445236564870134		0	2015-10-19 08:36:04	SenseiGichinFunakoshi	Estar en contra de una religion no es racismo!! Me da lo mismo que el musulman sea blanco negro marron o amarillo 	UCHif4b8zNv_rTcq0TDMf6ug	http://www.youtube.com/channel/UCHif4b8zNv_rTcq0TDMf6ug	1	z13ee11xemjlt3cx004cirbgoomctxkruks0k	SenseiGichinFunakoshi
z13ee11xemjlt3cx004cirbgoomctxkruks0k.1445215363515467		0	2015-10-19 02:42:43	Karim Dz	si no eres raccista tu no insultas el islam ahora selo estas demostrando	UCulSRVT8r7O0yiAKN1xeJ7g	http://www.youtube.com/channel/UCulSRVT8r7O0yiAKN1xeJ7g	1	z13ee11xemjlt3cx004cirbgoomctxkruks0k	SenseiGichinFunakoshi
z12nj5naqyvofluyv04cddw4js34dfejcv40k	1	0	2014-06-21 22:45:07	La isla Verde	<a href="http://www.20minutos.es/noticia/225056/0/xenofobia/racismo/delito/">http://www.20minutos.es/noticia/225056/0/xenofobia/racismo/delito/</a>﻿	UCqSoqmku7uQLJ6b1VmR4-HA	http://www.youtube.com/channel/UCqSoqmku7uQLJ6b1VmR4-HA	0		
z12nj5naqyvofluyv04cddw4js34dfejcv40k.1409224909629239		5	2014-08-28 13:21:49	Kalamundua	Racismo es venir a un país que te acoge y te da oportunidades y querer que los demás sigamos tu religión, si tan musulmanes sois emigrar a países musulmanes no vengáis aquí a dar por culo con vuestras paranoias medieveales, bastante tenemos con la iglesia como para aguantar a barbudos machistas.	UCcaEL-59OAW74jue5dWPrMw	http://www.youtube.com/channel/UCcaEL-59OAW74jue5dWPrMw	1	z12nj5naqyvofluyv04cddw4js34dfejcv40k	La isla Verde
z13tshi5nwa2gdwvx23uzvezylrcul0zz04	0	0	2014-06-17 16:09:58	Abdeselam Mohamed	Ja jaja. Que gilip... si se pudieran deacuerdo los imanes. .. jaaaa. No sotros los musulmanes, no obedecemos alos imanes. ellos solo son guias no dictadores y cada uno decide por si mismo. Es una pena que ensucien el islam con odio e ignorancia.. jaaa. Que ignorancia y mente mas retorcida y quiere juzgar al islam. Me das pena al igual que aquellos que incitan a los musulmanes de buena fe al yihad por odio a otros.﻿	UCLxnVUsxYnvNxNCBJIqvTtw	http://www.youtube.com/channel/UCLxnVUsxYnvNxNCBJIqvTtw	0		
z13wjzjzhyvldrdze04cirbgoomctxkruks0k	0	0	2014-06-16 23:10:42	SenseiGichinFunakoshi	Los paises civilizados se rigen x leyes laicas acordadas democraticamente!<br />No vengas a mi casa a imponer tus costumbres contra la mayoria de la poblacion.<br />No es k los democratas seamos islamofobos. es el Islam el k es antidemocratico﻿	UCHif4b8zNv_rTcq0TDMf6ug	http://www.youtube.com/channel/UCHif4b8zNv_rTcq0TDMf6ug	0		
z13wznkj0yrwhlecw22zsh1wtomsvt2tk	0	1	2014-06-12 13:44:51	trianon	no se puede ser tolerante con una gente que no lo es..el islam es una tirania, no una religion, ya que esta te &quot;obliga&quot;.......menos mal que todavia no tenemos los problemas de suecia, donde en los colegios ya no se celebra la Navidad por no ofender a la poblacion musulmana﻿	UC7pLiP9TstDpq8JwGDdRlVg	http://www.youtube.com/channel/UC7pLiP9TstDpq8JwGDdRlVg	0		
z125cbmyeryqxvlp004cjtcrjzuki5cbfoc0k	0	0	2014-06-06 18:25:30	moha	tranquilos ya vendran mas putos racitas ya vas  a ir acustumbrando k viva el islamm﻿	UCEiB8C8AUDEHGnKQqPr1Mng	http://www.youtube.com/channel/UCEiB8C8AUDEHGnKQqPr1Mng	0		
z13dwf3plozqcdik522aulxwckebvxbh204	0	0	2014-05-27 15:02:06	1Tetragramaton	Curiosa figura fue el &quot;profeta&quot; muhammad. Este “hombre santo” y “profeta de   Allah” mató a cientos de personas con su propia mano o girando órdenes a sus fanáticos seguidores. <br />Se robo las propiedades de los muertos (BOTIN Coran sura 8)  y convirtió a sus mujeres y niños en esclavos para la venta. Tomó como “esposas” a algunas de las viudas de sus enemigos asesinados. Tuvo 18 esposas al mismo tiempo e innumerables concubinas y esclavas sexuales (Coran <a href="http://www.youtube.com/watch?v=ADPq9QvjiI4&amp;t=33m50s">33:50</a>) (cálculos moderados dicen que 25), entre ellas a una niña de  seis años, a su propia prima hermana (Zainab), y a varias prisioneras cautivas de enemigos derrotados.  <br /><br />Sin duda, este personaje sagrado al cual ni siquiera se permite dibujar de haber nacido en tiempos modernos habría sido procesado judicialmente por sus múltiples crímenes].﻿	UCOeQdC_uYyfKOr0JbsHqbmA	http://www.youtube.com/channel/UCOeQdC_uYyfKOr0JbsHqbmA	0		
z13ehvi55lrmu1md1220ttxpzsmeypmeu	0	0	2014-05-26 03:11:37	driss moutarabi ahmed	españoles bien vinidos a marruecos hay trabajo para todos in españa no ceda nada solo jamon y vino bien vinidos﻿	UCnbNFK_BIL3BA8ig3gnN_7Q	http://www.youtube.com/channel/UCnbNFK_BIL3BA8ig3gnN_7Q	0		
z12psr4acrmkvj3db220ttxpzsmeypmeu	1	0	2014-05-26 03:02:13	driss moutarabi ahmed	a llahoma insor islama walmoslimin﻿	UCnbNFK_BIL3BA8ig3gnN_7Q	http://www.youtube.com/channel/UCnbNFK_BIL3BA8ig3gnN_7Q	0		
z12psr4acrmkvj3db220ttxpzsmeypmeu.1401491403749498		0	2014-05-31 01:10:03	m m aissa	amin	UCWeX9fpHlqyzP32GnhstzZQ	http://www.youtube.com/channel/UCWeX9fpHlqyzP32GnhstzZQ	1	z12psr4acrmkvj3db220ttxpzsmeypmeu	driss moutarabi ahmed
z12pvnirhljdd3yhj04ccpjr3keaj5qbpf0	11	3	2014-05-21 09:03:07	Víctor PM (El Zegrí)	Cuánta ignorancia, parece ser que el &quot;país de panderetas&quot; necesitará cientos de años en llegar a ser civilizado, por muchos paquetitos turísticos de Marsans (antes de la crisis) parce que el viajar no ha servido de nada. El racismo y la generalización es una señal de poca cultura. Con tanto lavado de cerebro los políticos españoles se han mofado de la gente y le han robado hasta el mismo ser y ellos piensan que viven en un país de igualdad y democracia, así están.﻿	UClOl1t1BV-HJ2tUaemqWyzw	http://www.youtube.com/channel/UClOl1t1BV-HJ2tUaemqWyzw	0		
